;;;;MISURE CAMPO ELETTROMAGNETICO;;;;;
N. PROT QL;DATA MISURA;MUNICIPIO;VIA;PUNTO;ESPOSIZIONE E(V/m);ATTENZIONE E(V/m);QUALITA' E(V/m);ESPOSIZIONE SU 24 ORE;ATTENZIONE SU 24 ORE
;;;;;;;;;
QLFCB/2015/3723;15/01/2015;II;Viale Ippocrate 76;1;1,12;1,12;-;;
QLFCB/2015/5198;16/01/2015;XV;Corchiano 14;1;0,33;0,33;-;;
QLFCB/2015/5202;16/01/2015;XV;Corchiano 13;1;0,56;-;-;;
QLFCB/2015/48024;16/01/2015;IV;Eugenio Checchi 60;1;0,4;0,4;-;;
QLFCB/2015/81170;16/01/2015;VIII;G. A. Badoero 64;1;2,02;2,02;-;1,66;1,66
QLFCB/2015/5370;27/01/2015;XII;dei Gonzaga 37A;1;2,15;2,15;-;;
QLFCB/2015/5371;27/01/2015;XVI;D'Avarna 9/11;1;1,22;1,22;-;;
QLFCB/2015/48027;27/01/2015;II;Viale dell'Università 27;1;8,1;8,1;-;6,11;6,11
;29/01/2015;XIV;Pasquale II 31;1;1,52;1,52;-;;
QLFCB/2015/9629;30/01/2015;VII;di Torre Morena 83;1;2,81;2,81;-;;
QLFCB/2015/7421;03/02/2015;V;degli Ontani 88;1;0;0;-;;
QLFCB/2015/7662;05/02/2015;XIV;Taggia 55;1;1,02;1,02;-;;
QLFCB/2015/7973;06/02/2015;VII;della Marrana 23;1;3,2;3,2;-;;
QLFCB/2015/8351;09/02/2015;VIII;G. A. Badoero 64;1;4,64;4,64;-;4,1;4,1
QLFCB/2015/9255;12/02/2015;IX;Costantino Reta 32;1;0;0;-;;
QLFCB/2015/46668;13/02/2015;IV;A. SCHOPENHAUER 53 ;1;0,74;0,74;-;;
QLFCB/2015/16502;16/02/2015;IV;Eneide 21/23;1;2,88;2,88;-;;
QLFCB/2015/11375;19/02/2015;VIII;Adolfo Ravà 106;1;0;0;-;;
QLFCB/2015/11452;19/02/2015;VII;Tuscolana 552;1;0,59;0,59;-;;
QLFCB/2015/12126;24/02/2015;VI;Giuseppe Borsalino 38;1;1,45;1,45;-;;
QLFCB/2015/12688;25/02/2015;I;Giovanni Giolitti 180;1;-;3,83;-;-;2,27
QLFCB/2015/12689;25/02/2015;VII;Piazza Zama 19;1;4,85;-;-;;
QLFCB/2015/12123;26/02/2015;IX;Cesare Pavese 36;1;0;0;-;;
QLFCB/2015/13219;03/03/2015;I;Piazza del Viminale 5;1;2,31;2,31;-;;
QLFCB/2015/15372;04/03/2015;III;Antonio Silvani 7;1;2,88;2,88;-;;
QLFCB/2015/18120;04/03/2015;X;Isole del Capoverde 251;1;2,61;2,61;-;;
QLFCB/2015/18232;04/03/2015;X;Piazza Cesario Console 16;1;1,97;-;1,97;;
QLFCB/2015/25312;09/03/2015;I;della Giuliana 82;1;3,78;3,78;-;3,65;3,65
QLFCB/2015/15531;10/03/2015;I;Salita San Gregorio;1;0,13;0,13;-;;
QLFCB/2015/16137;12/03/2015;XIV;Parco della Vittoria 30;1;1,97;1,97;-;;
QLFCB/2015/16137;12/03/2015;XIV;Parco della Vittoria 30;2;1,09;1,09;-;;
QLFCB/2015/16137;12/03/2015;XIV;Parco della Vittoria 30;3;2,3;2,3;-;;
QLFCB/2015/18761;17/03/2015;IX;Andrea Meldola;1;0;-;-;;
QLFCB/2015/18799;23/03/2015;II;Viale dell'Università 27;1;0,85;0,85;-;;
QLFCB/2015/19417;26/03/2015;V;delle Dalie 13;1;2,11;2,11;-;;
QLFCB/2015/27255;16/04/2015;X;Giuseppe Fiorelli 89 e 91;1;0,67;0,67;-;;
QLFCB/2015/27255;16/04/2015;X;Giuseppe Fiorelli 89 e 91;2;0,49;0,49;-;;
QLFCB/2015/44753;17/04/2015;XV;Corchiano 13;1;0;0;-;;
QLFCB/2015/44750;06/05/2015;VI;Montottone 91;1;1,68;1,68;-;;
QLFCB/2015/32513;13/05/2015;II;Viale XXI Aprile 61;1;1,13;1,13;-;;
QLFCB/2015/44749;19/05/2015;VII;delle Capannelle 130;1;0,89;0,89;-;;
QLFCB/2015/39282;17/06/2015;V;Renzo da Ceri 145;1;2,92;2,92;-;;
QLFCB/2015/39285;17/06/2015;V;del Maggiolino 130;1;2,4;2,4;-;;
QLFCB/2015/39288;17/06/2015;V;Luchino del Verme 109;1;0,74;-;0,74;;
QLFCB/2015/41964;18/06/2015;XII;Antonio Toscani 60;1;0;0;-;;
QLFCB/2015/41910;23/06/2015;XI;Giovanni Caselli 11;1;1,48;1,48;-;;
QLFCB/2015/42934;24/06/2015;VII;Paul Cezanne 11;1;0,34;0,34;-;;
QLFCB/2015/42936;30/06/2015;XII;Torinelli 3;1;1,52;1,52;-;;
QLFCB/2015/53412 ;01/07/2015;XIV;Pasquale II 31;1;1,68;1,68;-;;
QLFCB/2015/47223;08/07/2015;X;Emilio Costanzi 5;1;2,12;-;-;;
QLFCB/2015/47223;08/07/2015;X;Emilio Costanzi 5;2;0,71;0,71;-;;
QLFCB/2015/46484;16/07/2015;VII;Oppido Mamertina 8;1;0,86;0,86;-;;
QLFCB/2015/46661;17/07/2015;III;Pietro Mignosi 2;1;<0,3;-;-;;
QLFCB/2015/48423;20/07/2015;XIV;Gambolò 40;1;1,77;1,77;-;;
QLFCB/2015/53486;03/08/2015;II;Viale del Vignola 99;1;2,68;2,68;-;;
QLFCB/2015/53559;10/08/2015;XII;Piazza Neuschuler 9;1;1,39;1,39;-;;
QLFCB/2015/53560;12/08/2015;X;G. Torremuzza;1;0,52;-;-;;
QLFCB/2015/53931;17/08/2015;X;Giuditta Rissone 39A;1;1,35;1,35;-;;
QLFCB/2015/54944;24/08/2015;XIII;Rivarone 124;1;1,32;1,32;-;;
QLFCB/2015/58563;08/09/2015;XV;Flaminia Nuova 219;1;2,87;2,87;-;;
QLFCB/2015/64920;18/09/2015;XIV;Viale degli Ammiragli 46;1;4,75;4,75;-;4,31;4,31
