;;;;MISURE CAMPO ELETTROMAGNETICO;;;;;
N. PROT QL;DATA MISURA;MUNICIPIO;VIA;PUNTO;ESPOSIZIONE E(V/m);ATTENZIONE E(V/m);QUALITA' E(V/m);ESPOSIZIONE SU 24 ORE;ATTENZIONE SU 24 ORE
;;;;;;;;;
QLFCB/2014/2178;08/01/2014;VI;Pupinia 19;1;1,34;1,34;-;;
QLFCB/2014/14298;10/01/2014;V;Palmiro Togliatti 1520;1;7,48;7,49;-;5,89;5,89
QLFCB/2014/4625;14/01/2014;II;dello Scalo di San Lorenzo 46;1;0,58;0,58;-;;
QLFCB/2014/18502;14/01/2014;IV;di Casal Bruciato 10;1;0,84;0,84;-;;
QLFCB/2014/4624;16/01/2014;XIV;Franco Michelini Tocci 68A;1;0;0;-;;
QLFCB/2014/11315;21/01/2014;VIII;Paolo di Dono 145;1;1,48;1,48;-;;
QLFCB/2014/11315;21/01/2014;VIII;Paolo di Dono 145;2;1,91;1,91;;;
QLFCB/2014/13373;21/01/2014;III;Piazza Minucciano 33;1;0,92;-;-;;
QLFCB/2014/13373;21/01/2014;III;Piazza Minucciano 33;2;1,44;-;-;;
QLFCB/2014/30817;21/01/2014;VII;Bartolomeo Capasso 25;1;0;0;-;;
QLFCB/2014/9943;27/01/2014;I;Piave 80;1;0,4;0,4;-;;
QLFCB/2015/7298;27/01/2014;I;Piave 80;1;8,47;8,47;-;7,16;7,16
QLFCB/2014/12620;06/02/2014;XI;Casetta Mattei 180;1;1,14;1,14;-;;
QLFCB/2014/12616;12/02/2014;II;Dessiè 4;1;1,97;1,97;-;;
QLFCB/2014/12621;18/02/2014;I;dei Corridori 48;1;2,28;2,28;-;;
QLFCB/2014/12853;19/02/2014;IX;Emilio Colombo 26;1;2,91;-;-;;
QLFCB/2014/12854;20/02/2014;XV;Flaminia 785;1;0,77;0,77;-;;
QLFCB/2015/15142;23/02/2014;XIV;Venanzio Fortunato 54;1;1,77;1,77;-;1,68;1,68
QLFCB/2014/15632;25/02/2014;XV;Parco della Vittoria 30;1;0,62;0,62;-;;
QLFCB/2014/15632;25/02/2014;XV;Parco della Vittoria 30;2;0,91;0,91;-;;
QLFCB/2014/15632;25/02/2014;XV;Parco della Vittoria 30;3;2,51;2,51;-;;
QLFCB/2014/15632;25/02/2014;XV;Parco della Vittoria 30;4;1,86;1,86;-;;
QLFCB/2014/71160;28/02/2014;IX;Carmelo Maestrini 263;1;0,41;-;-;;
QLFCB/2014/71160;28/02/2014;IX;Carmelo Maestrini 263;2;0,4;-;-;;
QLFCB/2014/71160;28/02/2014;IX;Carmelo Maestrini 263;3;1,73;-;-;;
QLFCB/2014/71160;28/02/2014;IX;Carmelo Maestrini 263;4;1,43;-;-;;
QLFCB/2014/24028;05/03/2014;VII;della Stazione di Ciampino 115;1;1,37;1,37;-;;
QLFCB/2014/24029;05/03/2014;IX;Laurentina 3/N;1;2,59;2,59;-;;
QLFCB/2014/19198;07/03/2014;VIII;del Serafico 149;1;1,33;1,33;-;;
QLFCB/2014/17895;12/03/2014;IV;Alessandro Malladra 10;1;1,28;1,28;-;;
QLFCB/2014/48557;17/03/2014;XIV;Lucilio 42;1;3,87;3,87;-;3,75;3,75
QLFCB/2014/23558;20/03/2014;XI;Ernesto Nathan 75;1;1,29;1,29;-;;
QLFCB/2014/36136;21/03/2014;II;Ticino 24;1;1,14;1,14;-;;
QLFCB/2014/23559;25/03/2014;XIII;Giuseppe Palombini 33;1;1,17;1,17;-;;
QLFCB/2014/23705;26/03/2014;I;Circonvallazione Clodia 36;1;4,64;4,64;-;4,43;4,43
QLFCB/2014/22119;28/03/2014;VII;La Spezia 74;1;0,9;0,9;-;;
QLFCB/2014/23709;31/03/2014;XII;Mario de Renzi 16;1;0,49;0,49;-;;
QLFCB/2014/24027;01/04/2014;XV;Ottavio Ragni 15;1;0,47;0,47;-;;
QLFCB/2014/23707;02/04/2014;VI;Liscia 27;1;1,36;1,36;-;;
QLFCB/2014/24025;03/04/2014;II;del Pinturicchio 23;1;2,87;-;-;;
QLFCB/2014/29276;08/04/2014;VII;Piazza Camerino 8;1;4,1;4,1;-;3,82;3,82
QLFCB/2014/26489;09/04/2014;XI;Aurano 171;1;0;0;-;;
QLFCB/2014/26742;10/04/2014;VII;Viale Appio Claudio 248;1;1,2;1,2;-;;
QLFCB/2014/26749;10/04/2014;VII;Carlo Fadda 25;1;1,07;1,07;-;;
QLFCB/2014/32762;15/04/2014;I;Poli 53;1;6,4;6,4;-;5,1;5,1
QLFCB/2014/48559;18/04/2014;;Casilina 1626/A;1;1,36;1,36;-;;
QLFCB/2014/36134;02/05/2014;II;Vigevano 10;1;1,38;1,38;-;;
QLFCB/2014/30088;05/05/2014;XV;Città della Pieve 76;1;0,61;0,61;-;;
QLFCB/2014/49102;05/05/2014;II;Pisa 30;1;0;0;-;;
QLFCB/2014/49290;05/05/2014;II;Pisa 30;1;0;0;-;;
QLFCB/2014/31777;08/05/2014;V;Aristide Staderini 36;1;1,73;1,73;-;;
QLFCB/2014/31781;08/05/2014;IV;Giulio Curioni 96;1;2,71;2,71;-;;
QLFCB/2014/33652;08/05/2014;I;Candia 121;1;6,13;6,13;-;5,41;5,41
QLFCB/2014/34965;08/05/2014;X;della Cacciuta 70;1;0;0;-;;
QLFCB/2014/39995;08/05/2014;X;Ermesianatte 140;1;0,38;0,38;-;;
QLFCB/2014/55397;08/05/2014;X;della Felce 31;1;0,43;0,43;-;;
QLFCB/2014/33653;14/05/2014;XIV;Quintiliano 22;1;2,22;2,22;-;;
QLFCB/2014/33653;14/05/2014;XIV;Quintiliano 22;2;1,74;1,74;-;;
QLFCB/2014/34144;16/05/2014;IV;A. Ziveri 4;1;1,63;1,63;-;;
QLFCB/2014/42453;27/05/2014;XIII;Casal del Marmo 264;1;2,89;2,89;-;;
QLFCB/2014/45870;27/05/2014;XV;A. G. Bragaglia 78G;1;0,83;0,83;-;0,62;0,62
